newsIDs,ratios,invisible_by_news,visible_by_news
831843,4.125,33.0,8.0
895340,3.576923076923077,93.0,26.0
895347,3.4545454545454546,76.0,22.0
826329,3.25,52.0,16.0
846815,3.0,21.0,7.0
895333,3.0,30.0,10.0
895338,2.869565217391304,66.0,23.0
895341,2.8333333333333335,34.0,12.0
895346,2.823529411764706,48.0,17.0
818840,2.727272727272727,30.0,11.0
906335,2.6666666666666665,40.0,15.0
840247,2.575,103.0,40.0
895336,2.4285714285714284,51.0,21.0
833231,2.3333333333333335,56.0,24.0
868025,2.2857142857142856,16.0,7.0
869398,2.1818181818181817,24.0,11.0
895325,2.142857142857143,15.0,7.0
860677,1.9090909090909092,42.0,22.0
895326,1.7916666666666667,43.0,24.0
811534,1.6153846153846154,21.0,13.0
864417,1.5714285714285714,11.0,7.0
812185,1.5555555555555556,14.0,9.0
921153,1.5,9.0,6.0
894968,1.5,9.0,6.0
845541,1.4444444444444444,39.0,27.0
891058,1.4285714285714286,10.0,7.0
793701,1.4285714285714286,10.0,7.0
784869,1.4285714285714286,30.0,21.0
895349,1.3888888888888888,25.0,18.0
895330,1.375,22.0,16.0
862163,1.3636363636363635,15.0,11.0
817705,1.3333333333333333,44.0,33.0
823863,1.3103448275862069,38.0,29.0
895287,1.2857142857142858,9.0,7.0
895364,1.2857142857142858,18.0,14.0
851932,1.25,10.0,8.0
811725,1.2307692307692308,16.0,13.0
807476,1.2307692307692308,32.0,26.0
800929,1.2,12.0,10.0
788178,1.1875,19.0,16.0
857693,1.1818181818181819,13.0,11.0
789473,1.1764705882352942,20.0,17.0
814187,1.1666666666666667,21.0,18.0
891973,1.1428571428571428,16.0,14.0
861279,1.1333333333333333,17.0,15.0
824581,1.125,9.0,8.0
895354,1.0810810810810811,40.0,37.0
895299,1.0714285714285714,15.0,14.0
864688,1.0335570469798658,154.0,149.0
895353,1.0224719101123596,91.0,89.0
895391,1.0125,81.0,80.0
790109,1.0,9.0,9.0
815437,1.0,12.0,12.0
819974,1.0,9.0,9.0
807922,1.0,7.0,7.0
841114,1.0,6.0,6.0
842796,1.0,8.0,8.0
895304,1.0,12.0,12.0
790885,1.0,11.0,11.0
834593,1.0,7.0,7.0
805111,1.0,6.0,6.0
767984,1.0,6.0,6.0
883071,1.0,6.0,6.0
866272,1.0,11.0,11.0
864132,1.0,12.0,12.0
800462,1.0,7.0,7.0
859746,1.0,8.0,8.0
876123,1.0,9.0,9.0
797270,1.0,19.0,19.0
826754,1.0,6.0,6.0
867026,0.9565217391304348,22.0,23.0
818489,0.9444444444444444,17.0,18.0
895320,0.9411764705882353,64.0,68.0
869959,0.9230769230769231,12.0,13.0
803948,0.9130434782608695,21.0,23.0
822094,0.9090909090909091,10.0,11.0
819646,0.9,9.0,10.0
819740,0.9,9.0,10.0
804419,0.8888888888888888,8.0,9.0
806121,0.8888888888888888,8.0,9.0
899279,0.8888888888888888,8.0,9.0
845052,0.8863636363636364,39.0,44.0
884590,0.8782608695652174,101.0,115.0
823918,0.875,7.0,8.0
830141,0.875,7.0,8.0
788757,0.875,7.0,8.0
846751,0.875,21.0,24.0
850680,0.8709677419354839,27.0,31.0
895389,0.8676470588235294,59.0,68.0
861657,0.8666666666666667,13.0,15.0
932360,0.8666666666666667,13.0,15.0
801434,0.8666666666666667,13.0,15.0
850857,0.8571428571428571,6.0,7.0
928080,0.8571428571428571,6.0,7.0
906101,0.8571428571428571,12.0,14.0
847084,0.8571428571428571,12.0,14.0
893891,0.8571428571428571,6.0,7.0
877385,0.8571428571428571,6.0,7.0
895339,0.8571428571428571,6.0,7.0
855126,0.8333333333333334,5.0,6.0
821036,0.8333333333333334,5.0,6.0
935441,0.8333333333333334,5.0,6.0
835491,0.8333333333333334,10.0,12.0
851800,0.8333333333333334,5.0,6.0
858479,0.8333333333333334,5.0,6.0
895288,0.8333333333333334,25.0,30.0
843214,0.8333333333333334,5.0,6.0
895204,0.8333333333333334,5.0,6.0
843885,0.8333333333333334,5.0,6.0
841858,0.8333333333333334,5.0,6.0
859074,0.8333333333333334,10.0,12.0
898095,0.8333333333333334,5.0,6.0
845087,0.8235294117647058,42.0,51.0
861610,0.8181818181818182,18.0,22.0
833925,0.8,24.0,30.0
892912,0.8,12.0,15.0
895344,0.7948717948717948,31.0,39.0
895293,0.7894736842105263,45.0,57.0
894445,0.7777777777777778,7.0,9.0
875506,0.7777777777777778,7.0,9.0
785313,0.7777777777777778,7.0,9.0
861183,0.7777777777777778,7.0,9.0
859126,0.7708333333333334,111.0,144.0
895305,0.7692307692307693,20.0,26.0
840125,0.7666666666666667,23.0,30.0
869140,0.7647058823529411,13.0,17.0
822265,0.75,9.0,12.0
895343,0.75,9.0,12.0
879616,0.75,12.0,16.0
825656,0.75,6.0,8.0
876982,0.75,6.0,8.0
895371,0.75,9.0,12.0
921394,0.75,6.0,8.0
859341,0.75,6.0,8.0
767632,0.75,6.0,8.0
841799,0.7391304347826086,17.0,23.0
800399,0.7272727272727273,8.0,11.0
800532,0.7272727272727273,8.0,11.0
818587,0.7272727272727273,8.0,11.0
790053,0.7142857142857143,5.0,7.0
768932,0.7142857142857143,5.0,7.0
784046,0.7142857142857143,5.0,7.0
930926,0.7142857142857143,5.0,7.0
895368,0.7142857142857143,5.0,7.0
906680,0.7142857142857143,5.0,7.0
821146,0.7142857142857143,10.0,14.0
829778,0.7142857142857143,5.0,7.0
895294,0.7142857142857143,5.0,7.0
819285,0.7142857142857143,5.0,7.0
805093,0.7142857142857143,10.0,14.0
807763,0.7142857142857143,15.0,21.0
909722,0.7142857142857143,5.0,7.0
815607,0.7142857142857143,15.0,21.0
790071,0.7,7.0,10.0
895373,0.7,7.0,10.0
803975,0.7,21.0,30.0
862198,0.7,7.0,10.0
928403,0.7,7.0,10.0
898861,0.7,21.0,30.0
899612,0.6956521739130435,16.0,23.0
805633,0.6956521739130435,16.0,23.0
899566,0.6923076923076923,27.0,39.0
844844,0.6923076923076923,9.0,13.0
841822,0.6923076923076923,9.0,13.0
788283,0.6914893617021277,65.0,94.0
826729,0.6875,11.0,16.0
820465,0.6842105263157895,13.0,19.0
863856,0.68,17.0,25.0
821570,0.6666666666666666,6.0,9.0
856764,0.6666666666666666,4.0,6.0
936540,0.6666666666666666,28.0,42.0
905518,0.6666666666666666,4.0,6.0
878175,0.6666666666666666,4.0,6.0
907934,0.6666666666666666,4.0,6.0
890240,0.6666666666666666,4.0,6.0
895027,0.6666666666666666,4.0,6.0
941501,0.6666666666666666,4.0,6.0
877790,0.6666666666666666,4.0,6.0
889897,0.6666666666666666,6.0,9.0
862272,0.6666666666666666,4.0,6.0
841565,0.6666666666666666,16.0,24.0
823940,0.6666666666666666,50.0,75.0
921149,0.6666666666666666,6.0,9.0
926114,0.6666666666666666,4.0,6.0
904913,0.6666666666666666,4.0,6.0
899184,0.6666666666666666,8.0,12.0
830074,0.6666666666666666,4.0,6.0
